dates,reviews,comments
11/13/2022,5,Wow this place is def worth the 5 stars Food was delicious !!!Crunchy roll and pao pao shrimp was amazingly good !!!!  I def recommend coming here. Portions were big for the price.  So flavorful. Don't over think it and just come here. You won't regret it
11/27/2022,2,"After shopping, we tried this place and had a very disappointing experience.  The staff does not greet customers and you have to order on a tablet-like machine.We ordered the fried pork dumplings and veggie spring rolls.  Both tasted like they came from the freezer section at the grocery store.Minimal menu and no service whatsoever. We will NOT be back and do not recommend it."
12/3/2022,5,"Bento is BOMB!! I'm absolutely obsessed with Bento Asian Kitchen. I am a basic sushi lover. For the longest I would only eat California rolls. Now that Bento has come into my life I have ventured out of my comfort zone. Tonight I arrived at their poké bowl and I loved it so much. The ingredients at Bento are so fresh. Like SHIITake mushrooms how have I been missing this my entire life. Also, I was sick today and realized that this is the perfect meal when you need to put something in your stomach but cannot have lots of sugars or dairy. Fresh and filling."
4/27/2022,4,"I will say two things about this Bento location. 1. Their takeout is about the worse thing I have ever seen. I waited a full 30 minutes longer than I was told it would be for my takeout order. But, that actually holds true for all three Bento locations I've ever done takeout at. So, a word of advice, if you're ordering takeout from a Bento, tell them you want to pick up the food 30 minutes before you actually want it. I'm not kidding.2. Once you finally get your food, Bento has the best quick service sushi in the entire Central Florida area. I do not remember what rolls I got that day, but you can check the picture to see how bright and vibrant they look. All of the seafood tasted fresh and had a good texture. The sauces and herbs they used were not too much, and complemented flavors well. And the little crunchy things they put on that one roll were genius. Sushi roll's biggest lacking sometimes is texture, so these flavorless little balls of crunch were perfect. Overall, four stars is the perfect way to describe this place. Not perfect, but still amazingly delicious."
1/26/2022,2,"I'm going to start by saying I will never patron at any bento again. I don't remember what time we arrived but it took about 20 mins to get our food. There were other ppl waiting for their orders so it could've been a bit longer. By 10:30 they had turned off the lights in the entire place. We were still eating.The food was decent, the only reason I'm giving more than one star. They also offer beer, seltzers, & wine. I enjoyed the garlic string beans & miso soup. The rice & noodles didn't have much flavor. The spring rolls were greasy but I am glad they were veggie ones. The wontons could've been better. We asked for no avocado in our sushi roll. We sent it back but didn't want to wait for a remake. A bit pricey for the portions. The place seemed clean but overall not a good experience."
6/4/2022,4,"I often come to this Bento location because it's the closest to my place in Downtown Orlando but if I had to drive, I probably wouldn't come because of parking. I give it a 4 out of 5 for the parking, sometimes long waits for food/service and they do not accept cash.Sometimes when we have ordered to go and arrived well after the time they told us it would be ready, we would still have to wait 10-15 minutes.Other than that, everything I've had here over the many times, has been really good. My tried and true is the chicken teriyaki & sichuan rice bowl(s).I often opt for the Mt Fuji sushi roll and the Crunch signature roll as I am not a real sushi connoisseur."
4/11/2022,4,"I always enjoy bento and think they have good food. I haven't been to this location in years, but its good to see it made it through the pandemic! Centrally located in downtown and convenient. Quick service which is really nice. The food was good, although I would t recommend orange chicken and udon noodles, I couldn't make up my mind of what I wanted and this combination turned out to be very sweet. 4-star rating for this visit at this location because there were som dirty tables around that took a while to get cleaned off."
9/28/2022,4,"Got some solid takeout here one night and it was delicious! For a Japanese place, the Korean food hits different!"
2/9/2022,5,"I really enjoy this place for food. They have a good selection, but the menu is super easy to follow along and get what you want.Or you can try one of the main dishes, and they know what they are doing. The food came out really quick and was really hot. I was shocked at how fast they were with how busy this place was.This is a perfect place for a quick meal or to take your time and enjoy the food."
2/18/2022,5,"Mmm Bento! This is by far my favorite Bento locations throughout Central Florida. Came into the restaurant and our order was taken immediately. The staff was very attentive and busy! The establishment is clean but a little too crowded with furniture that it was an obstacle to get to the restrooms. Our order was taken, we sat down and our food took maybe about 20 minutes to come to the table. I don't mind the wait for food because that's an indicator that they're making it fresh. I ordered the chicken katsu Japanese curry, and my boyfriend ordered the chicken garlic broccoli noodles. The food was piping hot and so delicious! Definitely a place you should eat at when you're around town. The menu seems a lot simpler than other places, and I'm glad. Wish I took a picture of our food before we slammed it -- it was so delicious! This is the ONLY Bento place I'm going to!"
11/16/2021,3,"Cool vibe and great menu offerings. I ordered a create your own bowl and got to choose two bases, two proteins, five toppings, two small extras, and a sauce! And there were so many options within those options. I truly could customize it however I wanted and make it healthy for my eating style. My bowl was fresh and very yummy. I will say though, for the price, I thought the portion was very small. I got double salad as my base, and I could have sworn it looked like a single portion. I only got two pieces of cucumber and one slice of ginger, and they completely forgot my edamame. The fish pieces were pretty big but very few and far between.All in all, the vibe of the restaurant is cool and the food was tasty, but the portions left a hole in my wallet with me definitely wanting more."
9/2/2021,2,"I would give them one star for service.  They have a sign that says they are ""experience longer wait times due to covid and number of employees.""  Seriously?  I counted 4 people out in the service area and there must have been at least 1 cook.  I was the only person in the place and it took 20 min.  Ridiculous.  Food was good so they get 2 stars.  Step it up people."
4/27/2022,3,"Pretty good food, decent sushi, relatively fair price. Service is a bit on the slow side, but it's downtown...and a BIG negative for me... they don't accept cash...Found that out when I tried to pay. Who doesn't take cash? It's unheard of!  If they ever decide to take cash, I'll give them another star.Solid 3 stars til then."
1/10/2022,5,Wait time was pretty long but typical for a sushi restaurant delivery. Loved my food. Ordered through Ubereats. Will order from here again.
9/2/2022,3,Order from here frequently. A little pricy for the food but love the pad Thai. Ordered the poke bowl for a second time and the amount they give for the price ($19) is not worth it. Poke Hana has been the best for a poke bowl in the area.
8/27/2022,1,I asked for hoisin sauce and she was like we aren't Chinese and she was giving me a lot of attitude and I asked for a refund and she says we don't do that here and I was extremely turned off don't ever come here they have an extreme attitude. And seriously if the food was even good I would've restrained myself but unfortunately it wasn't.
2/27/2022,3,"The food was delicious and fresh! My daughter and I both ordered sushi rolls and we were extremely happy with our choices!! The waitress was not very friendly. When we asked where we could get napkins, she curtly pointed to the back area by the soda machine. Later, I asked if we could get a to go box and she again pointed back on the counter by the napkins and never offered to get them for us. She seemed very annoyed with our questions. Having never been there before, we had no idea. I'd go again though, the food was amazing!!"
11/30/2021,4,"(10/29/2021) the office pitched in for a DoorDash delivery for lunch. Got a Build-A-Poke Bowl, Garlic String Beans, Veggie Spring Rolls. It was kind of a dreary day, the food was fresh, on time, and the highlight of the day. Green beans were blistered from s quick fry, savory, garlicky, and tender.  Veggie Spring Rolls were crisp, moist interiors, not greasy.  I probably could've used more sauces for my poke bowl, but I'm also a condiment fiend.  Fish was the trim from other parts, like off the fillet, and pretty fresh, but not pristine (condiments help)."
1/20/2022,1,"Came here to grab a quick lunch to go before a meeting.  I clearly explained my gluten allergy and got help ordering.  I waited 25 minutes for my salad. When I got back to my office, I had fried chicken on it. FFS, I can't have gluten, which is in the breading and the fryer.  I took it back, and they nicely offered to remake it.  Where I waited another 30 minutes for a salad!  A simple GRILLED CHICKEN SALAD! I finally was able to eat 2.5 hours after I ordered the original salad, (to be fair I did have a meeting, and couldn't bring back the original salad until it ended), and it's just OK.  Nothing special, but it was $16!  I won't be returning."
4/14/2022,4,"Decided to stop in for a quick dinner and was not disappointed. I got the Coconut Red Curry chicken bowl with udon noodles; very good with a good variety of veggies! It had a good amount of spice, but just the right amount for me (I like moderate levels of spice). My girlfriend got the Orange chicken bowl with udon noodles. It was a little too sweet with the noodles, she would recommend it with rice instead."
5/30/2021,5,Glad they have this place as we were a bit hungry. A colleague and I came here for the first time. At first I was taken aback as you have to place your order upfront and then they'll serve it to you. You basically have to go get your own drinks...kind of self serve in a way. Not used to it but I don't mind a change. The service was incredibly fast and the food is actually very good. I would definitely dine here again. The staff were friendly and accommodating.
8/20/2022,3,"I have gone to this restaurant many times for lunch which is always awfully packed. Thankfully, they have the option to order pick up which helped save me time. I have had their lunch specials which include sushi that have been hit or miss. I hate that the prices have gone up and the food being subpar."
