dates,reviews,comments
9/5/2022,5,"Quick easy Asian food at a decent price.  We go to the one on 13th.  Always clean, always busy, always good food."
11/5/2021,4,Great lunch and friendly service. Fast casual Asian with a big menu including creat your own bowl or poke. Tried a poke bowl with spicy tuna and the miso soup. The soup was spot on and yummy. The bowl was good and toppings were fresh. Staff was friendly and courteous. You order at the counter and then they bring it to you. #eatatbento $$
11/5/2021,1,"I come to Bento just starving before studying for an exam, and I order a orange chicken meal. I barely have time to look at my food as I'm preparing to work but as I look down, I am mortified. Orange chicken, more like PINK chicken. My chicken is raw with minimal streaks of white meat. I can't even return it anymore because it's too late and I'll just have to starve tonight. I'm feeling the salmonella particles pile in my stomach and I'm extremely disappointed in this bento."
3/8/2021,5,"Ordered Ubereats to my officeDelivered in minutes by a courteous  runner. Zen Garden roll, a vegetarian and delicious option with crunchy tofu and explosion of flavors melting on your  mouth Hawaiian bowl with marinated tuna and mango delicious and fulfilling"
8/30/2022,3,Great for a quick dinner. The rice bowls and noodle bowls are GENEROUS in size. If you are a fish lover/sushi lover... this is NOT the place for you.The service makes up for everything. Everyone was super nice and helpful.
8/15/2022,1,"Worst place to eat in Gainesville. If you order be prepared to watch 15 more people come in and order then get their food before you. Also, they delete negative reviews."
10/25/2022,3,"Food is always good, but it's super overpriced and the staff here are slow and not very friendly."
8/24/2022,1,My friend got horrible food poisoning from the sushi at this place. She was so ill for days and visibly looked unwell for hours after consuming the food.
5/11/2022,3,Sub par pan Asian but still love going to the Archer n newberry location more often. I think they could do a better job at the sushi component
4/11/2022,5,"Never have any thing less than a great experience at this Bento. I am always greeted with a smile and warm welcome as I enter. The employees are extremely patient and do not make you feel rush or pressured in any way. They will bring your food to your table if you wish to stay, and food comes out pretty quick for the amount of business they receive. The tables are always clean and the booths are very comfortable. The food comes out hot and well-prepared, with soy sauce and other common necessities at the table. I can confidently say that the Miami Roll or the Vegetable Udon Noodle Bowl are two of the best meals I've ever had. They also have a fountain soda machine offering free refills with many options. All around, one of my favorite places to eat in Gainesville, can't ever see them going wrong!"
