dates,reviews,comments
12/9/2022,5,Love their poke bowl. I sometimes prefer it over sushi because not too much seaweed but my fave all time of their sushi roll is hot lava. It has all my fave toppings in it. Really recommend for lunch or dinner when catching up with a friend or small gatherings
11/15/2022,3,"Went here with some friends from out of town the other weekend. Our experience was... average? I've settled on ""average"" for 3 main reasons: 1. The service was fairly slow despite us being one of two sets of guests in the restaurant. 2. Our food was good, but for the price, could have been better. 3. Our meal was interrupted constantly by blaring music. Don't get me wrong, I love ""Man in the Mirror"" just as much as the next guy, but when my friends and I are having to yell over the music to communicate, that's when it becomes overbearing. It sounds like such a silly detail, but when you can't hear your friends and then eat quickly so you can leave and go somewhere quieter, it becomes a little less silly.All in all, our experience wasn't bad. This is a new and very clean location. Our food came out hot and tasted as you'd expect for a Bento. Nothing really wowed us, but that's not to say we wouldn't come back. Although, next time we might decide to drive to the Town Center Mall location instead."
9/16/2022,1,"9-16-2022 *UPDATE*Apparently they no longer have udon soup as an option here. This was the only saving grace since the sushi is so generic. Now, I won't be back at all. Thanks for ruining the closest place I could get udon soup at."
12/4/2022,3,"Great food. Okay service, no one was there. Clean and quiet ambiance was laid back. I came during closing time and the online order said they were out of general Taos. When I came inside they actually had it on the menu. Wait time was short. Wouldve liked to try the bubble tea,  but the young lady said they were out. I would come back again!"
12/21/2022,3,"This used to be a go to for me in college. While the menu is essentially the same, I unfortunately didnt find my food to be that way. When we ordered our food they told us it will take 30 min which would be fine, but it wasn't unusually busy. I ordered a bento box and the chicken was just ok."
3/20/2021,5,Can't go wrong with a Bento Box. Bentos was my first real experience in a BOX at their first location. Their second RED was a upscale of what I already loved but with a cocktail on the side. Bentos Riverside is visually welcoming. The same great food and Boxes. Menu is very accommodating to all pallettes The soft opening was professionally handled with no wait or issues. Do I wish it was a Red.. yes but they are here in my area now so that's a celebration! See you again at my lunch times soon!
3/8/2021,4,"This particular location of Bento Asian Kitchen and Sushi is located on Riverside Drive in the Brooklyn Plaza. They have a sign stating that they are in soft opening at this time. If you have ever had been towed Asian Kitchen and Sushi before, you will know that it is a decently priced alternative to get some decent Sushi and they have very good poke bowls.There are a lot of restaurants around this establishment, so they might have some stiff competition. However, there are also a lot of apartments right behind them. If you are unsure and how to find them they are located next to the Chop Barbershop and the Chipotle. All in all, I would recommend this establishment. I will advise you though that they are currently in a cashless operation, so make sure you have a debit card or a credit card."
4/6/2022,2,"I've eaten at the Gainesville and Town Center locations numerous times and the food was always great but this location the food is just ""off."" Considering Bento is a chain, I assumed the food would be the same at every location i.e. same recipes, flavor, etc. but that was not the case. I had the fried rice here and it was terrible. So mushy and very weird flavors. Not like fried rice at all or anything like what I've received at the other locations. If you want Bento I would recommend you go to a different location if possible."
5/1/2022,5,Bento box has good fried rice and tasty meat. Loved it!  Wow wow wow wow!  Go see for yourself. The service is great too.
2/20/2022,1,"I'm sorry guys. I walked in here and there were 4 people. I waited for 52 mins for a Togo of the pao pao chicken, steamed dumplings, and a ginger salad. It's good, it always is. I watched the restaurant gradually go from 3 people to 16 before anyone got food (aside from online orders). Do yourself a favor and hit up the other location in jax. Maybe drive to the one in Gainesville, you still might get your food quicker."
11/2/2021,1,"Ordered delivery. She got a poki bowl, I got red curry shrimp with extra vegetables and brown rice. Delivery guy had to give it to me gingerly because the food had leaked in the bag & the bottom had busted. Her bowl was good. Mine? Where do I begin? I thought I ordered red curry with shrimp & extra vegetables but I got a salad with 5 shrimp that had no flavor, my veggies were cooked just enough to knock the chill off of them. All the vegetables were completely raw.(bell pepper, green beans, carrots, mushrooms and broccoli) I thought maybe the curry sauce would be at the bottom with the rice but alas, no. Maybe a spoonful of curry sauce. Not even enough to make my nose run. After complaining to DoorDash they took $8 off of the $15 I paid. So I'm good from ordering again, because truthfully I'm worried the shrimp are going to make me sick being it was all raw..."
11/10/2021,2,"the staff was alright but the food took over 20 mins to come out. I was in a time-limited situation to make it to my therapy session. The divorce is hitting hard so i WAS NOT satisfied with this meal. 2/5 stars. Also the edamame(green beans) were just bland :(. sad face on the prices too, pretty expensive."
5/27/2021,5,"I have had Bento before from other locations but this was my first time trying the food at this one. I ordered a catering order for my graduation party and they didn't disappoint! We got the spicy cream chicken (it's called the Pao Pao now), lo mein, orange tofu, and krab wonton platters. The chicken and tofu platters also came with rice. The portions are huge! We ordered for 11 people originally but I had about 16 attend my graduation party and there were plenty of leftovers. We paid $254 for the whole order (but also make sure you tip for the catering orders too). You can see the portion sizes in the attached pictures. The egg rolls were not part of the catering order as my mom made those. For the food review: the spicy cream chicken and krab wontons are my favorite. The orange tofu was just ok, a little too sweet but we ordered it since the majority of my family is vegetarian. Thank you Bento Riverside! We were happy to be your first catering order!"
7/26/2022,2,Kitchen is very slow. Noodles were over cooked. No cell reception and no Wi-Fi. Overall an unpleasant experience
11/15/2021,1,"I'm a huge fan of Bento. I've been to every Bento we have in Jacksonville, and even visited the Orlando location when I've been traveling through. I have tried almost everything on the menu and am always impressed with the sushi, poke bowls, noodle bowls, and bento boxes. Really, the food is the only thing redeeming about this location.As someone who has been to multiple locations, I've noticed each place is a little different depending on their work culture. Some have great service, some just have okay service. This Bento, however, is the worst service. Staff was rude, I waited thirty minutes for my to-go noodle bowl, and when I realized other people after me in large parties were getting their food, I asked about my order. Staff cold-shouldered me and just said they were short-staffed. I completely understand that right now, more than ever, staff is hard to find. I am totally patient. But when you are rude and impatient with me for asking a polite question, I am immediately turned off. I finally gave up and asked for a refund, and was treated with more attitude. A manager came out, did not speak to me, did not apologize, did not ask me what happened, and just said ""put your card in"" and walked away. I will not be returning to this location."
6/28/2021,2,"I've had the town center one plenty of times no issues. But this one is a little off. The TNT roll is made super weird there, the texture is way off. It's gummy and mushy. Tried to show example in picture. The Mt. Fuji is the same though. Great as always"
11/11/2021,3,"I want it to be good! It just isn't. The food is just okay. It's fast and convenient, but expensive and mediocre."
4/12/2021,5,Went in this little spot for lunch today and it was pretty awesome. The food is hot a fresh and they give you plenty. I had the pineapple fried rice with shrimp as my protein. It was super yummy! I can't wait to try more of what they have to offer!
3/19/2021,5,"Finally ordered lunch to go from the newest Bento location in Brooklyn. I called in and placed my order very easily. The woman I spoke with answered any questions I had and helped my coworker and I choose the best bang for our buck. Parking is MUCH easier now with the new parking lot addition. I went around 12:30 pm and there was at least a handful of empty parking spots. They let me split the order in person and pay separately, then it was only a 5 minute wait or so for our food. The inside is super cute with plenty of natural light and fresh atmosphere. I particularly love the cute neon sign! My Sushi Combo box was delicious and filling, and cost about $12. I definitely plan on adding Bento to my lunch rotation!"
4/11/2022,1,"Total disappointment. Thought this place was ""fast casual"" so went for lunch between meetings and after 30 minutes asked where the order was and was told ten MORE minutes (!!). Five minutes later, my CHICKEN came to the table COLD. Thanks for the $17 refund, but I'll never walk back in this place."
4/19/2021,3,The manager contacted me and resolved the issue. However the issue was as you can see in the picture I ordered lo mein and received white rice. Make sure if you order to go you check your order before you go.
7/27/2021,5,"We walked in right before they were closing and everyone was so friendly and so gracious and so welcoming. While they may have been out of a handful of items, the staff really did a great job providing us with our options and we found something everyone liked. The Bento box and sushi rolls were excellent.  Spring rolls and tempura shrimp also fresh and excellent. Loved it and will be back but the staff deserves a raise and maybe some bonuses."
10/16/2021,2,"Employees were nice, but overall the experience was 1.5 stars mainly based on the quality of food - which was just ehh okay - I asked for ""plain"" fried rice for our two young kids (also $7?!) the employees must have misunderstood when I said plain and no egg, they still Included all The vegetables. The kiddos didn't want to waste their time exchanging it. Also ordered the bento box general tso and the portions for $15 was not worth it, small scoop of rice? Fewer pieces of general tso chicken  and lo mein noodles with no flavor SMH. The last items We ordered was the $15 special roll 'hot lava' and Mex roll- let's just say both rolls for the price and quality were very underwhelming and we're not crafted the way a sushi roll is supposed toBe made...and Bento isn't new to us we've been going since they opened in town center area (but have been going less and less since the pandemic, bento red turned to shit too) this fairly new riverside location need some work..also we had to clean our own tables with soy sauce stains on it, I may not be a professional restaurant manager but I'm a customer that observes all the details. Step up on the experience and the prices are way toooo high for the quality! We love to supportBut won't be going back anytime soon!"
10/31/2021,1,"Closes early always. I get it it's COVID but then when I get to the place on a night you don't close early y'all are all just hanging out not trying to work. No wonder this place will be out of business in a year. Ran out of lo mien after I already paid for my food and asked if I wanted something for free... I said no white rice was fine, and then you proceeded to not bring our tea for another 15 min while we eat half of what we ""ordered"" . Y'all are trash. Fire the whole squad"
4/3/2022,3,Head off to whoever cook my food it's delicious lol  hello to the Lang lady at the counter she needs to start smiling more when someone asked her for a condiment she made me feel like I don't know what I'm talking about a restaurant like this place with out salad sauce or condiments for your green salad that's ridiculous. She seems like I bothered hard when I Astor for a sauce for my salad really you work on this place specially an Asian place like this you need to start smiling first every Asian is not nice like me. The lady that serve my food thank you so much is served with smile and again thank you for the cook made my food it's amazing thank you all ready
6/5/2021,5,"I had the chicken katsu and my mom had a poke bowl which was bussin bussin :) their boba is good too! I don't like the paper straw though, since I drink slow I end up with soggy straw. I bought a metal one though so I'll use that from now on."
2/28/2021,4,"The atmosphere leaves a little to be desired. The employees are bordering on rude but the food is good and prices are fair. I ordered the chicken fried rice and was told that they were out of bean sprouts, I asked if I could remove the peas and there was some kind of failure to communicate as it took her 5 min to explain that the carrots and peas come together? So I opted to get them as the only vegtables in the fried rice. I did ask if I could substitute peppers or another vegetable for the bean sprouts and was told I would habe to pay extra. I almost walked out, and if my son hadn't brought me, I would have. But I was pleased with my dish."
10/17/2021,1,Staff is rude & by the way - it's a sushi place that when busy won't serve sushi...or so we were just told. Poor excuse for a Bento!
5/15/2021,2,"The cafe was sparkling, new and inviting. The counter help was very informative and answered all of my questions. We ordered a large variety of food that was not too overpriced priced if it was all edible. The noodle soup only tasted of fish oil, the California roll was definitely not fresh as it was gummy in the center. Our foods came to us in very small amounts as the first person was done before the last one was served. We were not given an explanation as to why this happened. The Mongolian shrimp was excellent but small for the price. I think this will be a good cafe once they get their staff to work together but they are not there yet."
3/24/2021,3,"The ambiance of the restaurant is great except we got dark meat in all our bowls. Panda Express carries all white meat and this being a high class Asian restaurant, I expected white meat but it came with dark meat by default. Also the rice is a little mushy and doesn't look fully fried. Taste is good and that is why I gave three stars. Need some cooking improvement."
5/24/2021,5,"Delicious food, healthy and light. Large portions and good variety of options. I like the pok'e bowl, good value and super yum."
