dates,reviews,comments
9/27/2022,5,SOOOOO GOOOODDD!!! Super cute location & great staff! Food came quick and tasted great
7/26/2022,2,"Friendly staff and clean restaurant, but the food was unremarkable. My wife got a bento box with sautéed vegetables and I got a salmon roll and miso soup. My sushi was a bit subpar. The rice was too vinegary and the salmon, which seemed OK, had a very pale orange color to it which made me question the quality. My wife hated her bento box. The vegetables were freshly cooked but the sauce was gloppy and one dimensional. The rest of the box was unremarkable; lukewarm noodles and rice, a basic salad and some green beans. It was certainly a big portion, but it wasn't very good. We both commented how much of a shame it was that the food wasn't better. We love Park Place and eat Asian food quite often. I would come here all the time if it was good. Unfortunately, it wasn't."
12/2/2022,5,I'm originally from New York and consider myself a foodie and a tough critic. Bento Asian Kitchen + Sushi in Boca Raton exceeded my expectations. My food arrived much sooner than expected and warm.  My fried dumplings were crispy and the size of the bento box surprised me. Everything was delicious and amazing. The cherry on top had to be the little crunchy wonton crisps in their own little compartment. They were dusted w/ cinnamon and sugar and served as a great little dessert. I will definitely be ordering from them again very soon.
11/28/2022,2,"Food is decent but prices and portions do NOT correlate. I've been eating here for years and it used to be so much cheaper and you would get a decent sized portion. Went today after not going for awhile, paid 18 dollars for a poke bowl just for it be half the size of the actual bowl itself.  If I am paying almost 20 dollars for a bowl I at least expect to get a substantial amount of rice. Very disappointing, the tofu tasted pretty bad and like it's been sitting out all day and dry. Can definitely say I'm not returning here. Very sad as I used to love this place and always ate here."
8/12/2021,4,"In the mood for Asian food, I remembered my friend's suggestion to try Bento. The day came to give it a try! I walked in and place a to go order since I had limited time for lunch. The service was great, I was helped almost immediately and it didn't take too long to get my food to go. I ordered a ""spicy"" fried rice with tofu. I said ""spicy"" in quotation marks because it wasn't spicy at all. Either way it tasted delicious! It had a very pad Thai type of taste, I suspect they cook with peanut oil. It was more in the sweet side. I liked a lot even though it wasn't spicy. I also ordered boba tea. I chose a passion fruit flavor which had a green tea based with lychee pearls. It was way too sweet to my taste, but after adding a little bit of water it became perfect. I'm giving this place 4 stars because of those little details that could make it more authentic perhaps or improve. I still recommend it as a good lunch spot. The food was very tasty even if they don't hit the spicy note!"
7/19/2022,4,If your looking for affordable extra filling lunch this is it. Don't let the size mislead you. It's very yummy
10/24/2021,4,"To-go sushi, poke, and hot Asian food style restaurant. I ordered the taro milk tea with honey boba. The boba was perfectly cooked but I found the milk tea itself to be overly sweet and taste more like a milkshake. My boyfriend and I both ordered regular build your own poke bowls and honestly the bowls they serve you have so much food in them and going forward we will most definitely split one. I thought the fish portions were really generous and tasted fresh. I did find the sushi rice to be really mushy and over cooked but other than that I was pretty impressed. I would definitely go back when I'm looking for a quick dining experience."
2/13/2021,4,"3 1/2 stars. A good lunch with huge portions.  I'm a fan of bento boxes. Compartments with little bits of different foods to mix and match. Only in this case, it was large amounts different foods. You choose your meat (or tofu or shrimp) and your sauce plus white or brown rice. Each box comes with sauteed green string beans, a crisp salad with ginger dressing, and warm low mein noodles. In the middle of the box was a ""dessert"" - - crispy fried noodles with sugar and cinnamon on them. My choice of main dish was the chicken with yellow curry. It was very aromatic and had a very slight kick. In addition to copious amounts of white meat chicken breast, were carrots, green beans, zucchini, and bell peppers. It was very tasty. My husband ordered their sushi combo box. It included  an 8 piece California roll, plus his choice of two of their 4-piece classic sushi rolls. There were over a dozen choices. He also had a smaller portion of salad and some cold veggie (zucchini) topped with a miso dressing. in the box. His combo was a very large portion for the price ($12). If you don't want a large meal, they have build your own poke bowls; signature and classic sushi rolls, rice and noodle.bowls. They also have build your own boba teas/drinks. And they even have a kids meal. They were quite busy during lunch. Lots of college kids and business people in the area plus you can order and pay online. Then pickup. There is inside seating and a patio area outside, too. You order and pay at the counter and are given a number to display on your table. They deliver your meal to you. I wasn't familiar with this chain. Thank you to Howard H., fellow yelper elite, for eating here and intriguing me with his review to bookmark this location. It was a very good experience."
8/6/2022,2,"Ordered take out/ with me picking it up.  Service was slow getting checked out and food was over cooked and not that good.  I would give them a 2nd chance, not sure when."
3/4/2022,4,"Torn between 3 and 4 stars. Food was good and nicely plated! My sushi were way too salted for some reason though. My fiancé really liked his chicken. As for negatives, we had to wait for a long time for our food although it was not busy. And the prices are insanely high for what you get. The restaurant is nice and clean inside though and has a nice patio seating. Overall it was a nice lunch but we will probably not return."
