dates,reviews,comments
12/5/2022,5,"I've been to Bento in tallahasee before and so i had lunch here because it was familiar. The quality of the chicken itself could be better, but it was redeemable with the sauce (I had orange chicken). The rice and vegetables taste pretty nice too. I love that I could see the kitchen while I was placing my order, and I could tell where my order was (guaranteed freshness!). Quick service too."
4/13/2022,3,"Ordered:Steak & Shrimp Combo Garlic Broccoli Box with White Rice (~$18)Diet Coke (~$4)Aya's take:Although this place was super average, I'm a bit confused by the extremely low ratings. The one thing I will say is that the quality does not justify the price of the food. The portion is pretty solid, though. The box comes with a pretty well-rounded meal although a lot of it seems like ""fillers"" - things you wouldn't normally get but will eat just because it's there. I mainly ate the steak and shrimp with broccoli along with the white rice. Considering the plethora of options at this food court, I would recommend trying other places before deciding on this one."
10/17/2021,2,"I was really looking forward to eating here but food quality is not great! I'm disappointed!! I came here with a friend for the first time and there is a variety of itemsThere so I wanted to try something good and Asian food is always good. The chicken wasn't cooked as good, it was very greasy and I would say it tasted like it was old food! I will not return!"
6/20/2022,4,"Really good Chinese food! The General Tsos chicken and rice was my favorite and I would get it again. The sichuan was ok, definitely not spicy enough! I preferred the rice over the noodles. Overall good food and decent prices. 4/5 because no free water ;("
9/24/2021,4,"My volunteer group met at Armature Works because they have a huge outside seating area and in the time of Covid that's a great thing.Before our meeting I went to Bento to pick up some dinner. I went with the Korean bowl with chicken because it sounded like everything I like. It was delicious! Also, it was pretty quick too. I didn't have to wait long for it to be ready. My only complaint is they didn't have brown rice. It is listed as a choice on their website.I would definitely eat here again."
11/27/2022,2,"Food was just ok; nothing worth going back for.  Excessively greasy, vegetables not cooked correctly (Mongolian noodle bowl with steak).  Watched a colleague unwrap and pop a candy in his mouth with his gloved hand.  For a place with so many up charges, you'd expect better quality.  I have it on good authority that the restaurant in Orlando is better, so I'll try it again, but not at the Armature Works location."
10/13/2022,2,"This place wasn't terrible. If you like Panda express, don't mind paying double the price, and a $5 upcharge for fried rice, this is the place for you. Avoid our mistake and look around for better food in armature works. The food was OK but not worth the exorbitant prices. $6.50 for a drink and egg roll?"
2/20/2022,3,"Mediocre dish (I got the red curry rice bowl with veggies) at a decent price in Armature Works. Very long wait on a Sunday around 2pm, but that was my fault for coming on a Sunday!"
6/9/2022,4,"I see a lot of not the best reviews for this place but I have ordered many times, I get the same thing and I LOVE it. The Pao Pao chicken bowl with an upgrade to fried rice is so good. It has the perfect amount of sauce with it drowning. The chicken is crispy and the sauce adheres well. I got there late to pick up my online order and it was still warm when I got home. The portion generous, I saved leftovers for the next day. I'm a happy camper =]"
10/10/2021,4,Last night I tried Bentos for the first time. I liked the vegetarian options they had available. I ordered the pineapple sweet and sour tofu noodles. The tofu was fried and had a nice texture (usually places just cut it up and leave it as is). The noodles were fresh and the vegetables were crisp and not over cooked. I would compare it to Pei Wei and would definitely do it again. I didn't feel gross after eating it and will probably try the General Tso's Tofu or Korean Tofu. The food did take a while to come but it was a Saturday night and was very busy. The food came hot and freshly made. I will definitely have it again in the future. The other people in my group really liked their food too.
